Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Georgen-Hospital, Leipzig	QGJ.v1.Org.01687	https://undusting.org/jewish_sources/s/jewish_sources/item/18024	Georgen-Hospital, Leipzig				3546|4124	QGJ.v1.A0185.I0588.E03623|QGJ.v1.A0196.I0643.E04201		organizations		Georgen-Hospital, Leipzig 3546,4124
Gesamtarchiv der deutschen Juden	QGJ.v1.Org.01688	https://undusting.org/jewish_sources/s/jewish_sources/item/18025	Gesamtarchiv der deutschen Juden				1/2|94/1|94/2|94/3|94/4|4730|4731|4736|4745|4746|7121	QGJ.v1.A0000.E00002|QGJ.v1.A0003.I0043.E00116|QGJ.v1.A0003.I0043.E00117|QGJ.v1.A0003.I0043.E00118|QGJ.v1.A0003.I0043.E00119|QGJ.v1.A0234.I0732.E04807|QGJ.v1.A0234.I0732.E04808|QGJ.v1.A0234.I0732.E04813|QGJ.v1.A0234.I0732.E04822|QGJ.v1.A0234.I0732.E04823|QGJ.v1.A0239.I0860.E07202		organizations		Gesamtarchiv der deutschen Juden 1/2, 94/1-4, 4730, 4731,4736,4745,4746,7121
"Gesellschaft „Neue Heimat"""	QGJ.v1.Org.01689	https://undusting.org/jewish_sources/s/jewish_sources/item/18026	"Gesellschaft „Neue Heimat"""				21	QGJ.v1.A0003.I0032.E00043		organizations		"Gesellschaft „Neue Heimat"" 21"
Gesellschaft für christlich-jüdische Zusammenarbeit	QGJ.v1.Org.01690	https://undusting.org/jewish_sources/s/jewish_sources/item/18027	Gesellschaft für christlich-jüdische Zusammenarbeit				22|1742/2|1742/5|116|117|143	QGJ.v1.A0003.I0032.E00044|QGJ.v1.A0094.I0287.E01791|QGJ.v1.A0094.I0287.E01794|QGJ.v1.A0005.I0044.E00142|QGJ.v1.A0005.I0044.E00143|QGJ.v1.A0005.I0044.E00169		organizations		Gesellschaft für christlich-jüdische Zusammenarbeit 22,1742/2,1742/5,116,117,143
Gesellschaft für Judenmission	QGJ.v1.Org.01691	https://undusting.org/jewish_sources/s/jewish_sources/item/18028	Gesellschaft für Judenmission				1686	QGJ.v1.A0089.I0272.E01728		organizations		Gesellschaft für Judenmission 1686
Gesellschaft von Förderern und Freunden der THDresden	QGJ.v1.Org.01692	https://undusting.org/jewish_sources/s/jewish_sources/item/18029	Gesellschaft von Förderern und Freunden der THDresden				4606	QGJ.v1.A0219.I0701.E04682		organizations		Gesellschaft von Förderern und Freunden der THDresden 4606
Gesellschaft zur Beförderung des Christentums unter den Juden	QGJ.v1.Org.01693	https://undusting.org/jewish_sources/s/jewish_sources/item/18030	Gesellschaft zur Beförderung des Christentums unter den Juden				1914|1925|1926|1927|1928|1929|1930|1931|1932|1933|1934|1935|1936|1937|1938|1939|2952|2959|4663	QGJ.v1.A0105.I0317.E01968|QGJ.v1.A0106.I0324.E01979|QGJ.v1.A0106.I0324.E01980|QGJ.v1.A0106.I0324.E01981|QGJ.v1.A0106.I0324.E01982|QGJ.v1.A0106.I0324.E01983|QGJ.v1.A0106.I0324.E01984|QGJ.v1.A0106.I0324.E01985|QGJ.v1.A0106.I0324.E01986|QGJ.v1.A0106.I0324.E01987|QGJ.v1.A0106.I0324.E01988|QGJ.v1.A0106.I0324.E01989|QGJ.v1.A0106.I0324.E01990|QGJ.v1.A0106.I0325.E01991|QGJ.v1.A0106.I0325.E01992|QGJ.v1.A0107.I0326.E01996|QGJ.v1.A0170.I0534.E03019|QGJ.v1.A0171.I0538.E03026|QGJ.v1.A0223.I0715.E04740		organizations		Gesellschaft zur Beförderung des Christentums unter den Juden 1914,1925-1939,2952,2959,4663
Gesellschaft zur Förderung der Wissenschaft des Judentums	QGJ.v1.Org.01694	https://undusting.org/jewish_sources/s/jewish_sources/item/18031	Gesellschaft zur Förderung der Wissenschaft des Judentums				94/3	QGJ.v1.A0003.I0043.E00118		organizations		Gesellschaft zur Förderung der Wissenschaft des Judentums 94/3
Gesellschaft zur Verbreitung des Evangeliums unter den Juden	QGJ.v1.Org.01695	https://undusting.org/jewish_sources/s/jewish_sources/item/18032	Gesellschaft zur Verbreitung des Evangeliums unter den Juden				4663	QGJ.v1.A0223.I0715.E04740		organizations		Gesellschaft zur Verbreitung des Evangeliums unter den Juden 4663
Gesellschaft zur Verbreitung der Handwerke und desAckerbaus unter den Juden im Preußischen Staate	QGJ.v1.Org.01696	https://undusting.org/jewish_sources/s/jewish_sources/item/18033	Gesellschaft zur Verbreitung der Handwerke und desAckerbaus unter den Juden im Preußischen Staate				2084	QGJ.v1.A0108.I0332.E02138		organizations		Gesellschaft zur Verbreitung der Handwerke und desAckerbaus unter den Juden im Preußischen Staate 2084
Glashüttenwerk Finkenheerd	QGJ.v1.Org.01697	https://undusting.org/jewish_sources/s/jewish_sources/item/18034	Glashüttenwerk Finkenheerd				1530	QGJ.v1.A0069.I0224.E01578		organizations		Glashüttenwerk Finkenheerd 1530
Gold- und Silbermanufaktur Ephraim Sc Söhne, Berlin	QGJ.v1.Org.01698	https://undusting.org/jewish_sources/s/jewish_sources/item/18035	Gold- und Silbermanufaktur Ephraim Sc Söhne, Berlin				3/6|3/8	QGJ.v1.A0002.E00016|QGJ.v1.A0002.E00018		organizations		Gold- und Silbermanufaktur Ephraim Sc Söhne, Berlin 3/6, 3/8
Wolf Goldberg, kunstseidene Wäschefabrikation, Altenburg	QGJ.v1.Org.01699	https://undusting.org/jewish_sources/s/jewish_sources/item/18036	Wolf Goldberg, kunstseidene Wäschefabrikation, Altenburg				5443	QGJ.v1.A0236.I0810.E05520		organizations		Wolf Goldberg, kunstseidene Wäschefabrikation, Altenburg 5443
S.(imcha) B.(einom) Goldrei (Fa.), Leipzig - ZweigniederlassungGera	QGJ.v1.Org.01700	https://undusting.org/jewish_sources/s/jewish_sources/item/18037	S.(imcha) B.(einom) Goldrei (Fa.), Leipzig - ZweigniederlassungGera				5493	QGJ.v1.A0238.I0823.E05574		organizations		S.(imcha) B.(einom) Goldrei (Fa.), Leipzig - ZweigniederlassungGera 5493
Görlitzer Schuhhaus	QGJ.v1.Org.01701	https://undusting.org/jewish_sources/s/jewish_sources/item/18038	Görlitzer Schuhhaus				4402	QGJ.v1.A0200.I0659.E04479		organizations		Görlitzer Schuhhaus 4402
Moses Gottfried (Fa.), Gera	QGJ.v1.Org.01702	https://undusting.org/jewish_sources/s/jewish_sources/item/18039	Moses Gottfried (Fa.), Gera				5488	QGJ.v1.A0238.I0823.E05569		organizations		Moses Gottfried (Fa.), Gera 5488
Gebr. Gottfried (Fa.), Gera	QGJ.v1.Org.01703	https://undusting.org/jewish_sources/s/jewish_sources/item/18040	Gebr. Gottfried (Fa.), Gera				5490	QGJ.v1.A0238.I0823.E05571		organizations		Gebr. Gottfried (Fa.), Gera 5490
Graues Kloster	QGJ.v1.Org.01704	https://undusting.org/jewish_sources/s/jewish_sources/item/18041	Graues Kloster				1924	QGJ.v1.A0105.I0323.E01978		organizations		Graues Kloster 1924
Greizer Kammgarnweberei Berglas GmbH, Greiz	QGJ.v1.Org.01705	https://undusting.org/jewish_sources/s/jewish_sources/item/18042	Greizer Kammgarnweberei Berglas GmbH, Greiz				5504	QGJ.v1.A0238.I0824.E05585		organizations		Greizer Kammgarnweberei Berglas GmbH, Greiz 5504
Greizer Kaufhaus G.m.b.H. (ehemals Heinrich Uetz)	QGJ.v1.Org.01706	https://undusting.org/jewish_sources/s/jewish_sources/item/18043	Greizer Kaufhaus G.m.b.H. (ehemals Heinrich Uetz)				5209|5499	QGJ.v1.A0235.I0769.E05286|QGJ.v1.A0238.I0824.E05580		organizations		Greizer Kaufhaus G.m.b.H. (ehemals Heinrich Uetz) 5209,5499
Großdeutscher Frauen-Schutz- und Trutzbund	QGJ.v1.Org.01707	https://undusting.org/jewish_sources/s/jewish_sources/item/18044	Großdeutscher Frauen-Schutz- und Trutzbund				2004	QGJ.v1.A0107.I0327.E02058		organizations		Großdeutscher Frauen-Schutz- und Trutzbund 2004
Grundstücksverwaltungs-Gesellschaft, Harthau	QGJ.v1.Org.01708	https://undusting.org/jewish_sources/s/jewish_sources/item/18045	Grundstücksverwaltungs-Gesellschaft, Harthau				3190	QGJ.v1.A0183.I0583.E03267		organizations		Grundstücksverwaltungs-Gesellschaft, Harthau 3190
Hallescher Bankverein	QGJ.v1.Org.01709	https://undusting.org/jewish_sources/s/jewish_sources/item/18046	Hallescher Bankverein				2128/10	QGJ.v1.A0109.I0338.E02191		organizations		Hallescher Bankverein 2128/10
Hammermüller & Naundorf (Fa.), Oelsnitz	QGJ.v1.Org.01710	https://undusting.org/jewish_sources/s/jewish_sources/item/18047	Hammermüller & Naundorf (Fa.), Oelsnitz				4460	QGJ.v1.A0207.I0669.E04537		organizations		Hammermüller & Naundorf (Fa.), Oelsnitz 4460
Handelshaus Beckmann und Söhne, Hildburghausen	QGJ.v1.Org.01711	https://undusting.org/jewish_sources/s/jewish_sources/item/18048	Handelshaus Beckmann und Söhne, Hildburghausen				6199	QGJ.v1.A0239.I0831.E06280		organizations		Handelshaus Beckmann und Söhne, Hildburghausen 6199
Handels- und Gewerbe-Schule Schwarzenberg	QGJ.v1.Org.01712	https://undusting.org/jewish_sources/s/jewish_sources/item/18049	Handels- und Gewerbe-Schule Schwarzenberg				4525	QGJ.v1.A0210.I0682.E04602		organizations		Handels- und Gewerbe-Schule Schwarzenberg 4525
Handelshochschule Leipzig	QGJ.v1.Org.01713	https://undusting.org/jewish_sources/s/jewish_sources/item/18050	Handelshochschule Leipzig				4661|4662	QGJ.v1.A0222.I0714.E04738|QGJ.v1.A0222.I0714.E04739		organizations		Handelshochschule Leipzig 4661,4662
Handschuhfabrik M. Chapiro Glore Co., New York	QGJ.v1.Org.01714	https://undusting.org/jewish_sources/s/jewish_sources/item/18051	Handschuhfabrik M. Chapiro Glore Co., New York				4514	QGJ.v1.A0210.I0680.E04591		organizations		Handschuhfabrik M. Chapiro Glore Co., New York 4514
Hansa AG, Zwickau	QGJ.v1.Org.01715	https://undusting.org/jewish_sources/s/jewish_sources/item/18052	Hansa AG, Zwickau				4596	QGJ.v1.A0216.I0698.E04673		organizations		Hansa AG, Zwickau 4596
"„Hatikva"" - Bildungs- und Begegnungsstätte für jüdischeGeschichte und Kultur, Dresden"	QGJ.v1.Org.01716	https://undusting.org/jewish_sources/s/jewish_sources/item/18053	"„Hatikva"" - Bildungs- und Begegnungsstätte für jüdischeGeschichte und Kultur, Dresden"				4714|4715	QGJ.v1.A0232.I0729.E04791|QGJ.v1.A0232.I0729.E04792		organizations		"„Hatikva"" - Bildungs- und Begegnungsstätte für jüdischeGeschichte und Kultur, Dresden 4714,4715"
Haus Osterland - Zweigniederlassung der Hertie Waren- und Kaufhausgesellschaft m.b.H. Berlin, Gera	QGJ.v1.Org.01717	https://undusting.org/jewish_sources/s/jewish_sources/item/18054	Haus Osterland - Zweigniederlassung der Hertie Waren- und Kaufhausgesellschaft m.b.H. Berlin, Gera				5491	QGJ.v1.A0238.I0823.E05572		organizations		Haus Osterland - Zweigniederlassung der Hertie Waren- und Kaufhausgesellschaft m.b.H. Berlin, Gera 5491
Hebräische Universität Jerusalem	QGJ.v1.Org.01718	https://undusting.org/jewish_sources/s/jewish_sources/item/18055	Hebräische Universität Jerusalem				1843	QGJ.v1.A0101.I0308.E01897		organizations		Hebräische Universität Jerusalem 1843
Heidenheim, Oppenheim & Co.,Chemnitz	QGJ.v1.Org.01719	https://undusting.org/jewish_sources/s/jewish_sources/item/18056	Heidenheim, Oppenheim & Co.,Chemnitz				3157	QGJ.v1.A0183.I0583.E03234		organizations		Heidenheim, Oppenheim & Co.,Chemnitz 3157
Heil- und Pflegeanstalt Bernburg	QGJ.v1.Org.01720	https://undusting.org/jewish_sources/s/jewish_sources/item/18057	Heil- und Pflegeanstalt Bernburg				8018	QGJ.v1.A0296.I0978.E08112		organizations		Heil- und Pflegeanstalt Bernburg 8018
".Heimstatt"" Bauspar-Aktien Gesellschaft, Berlin"	QGJ.v1.Org.01721	https://undusting.org/jewish_sources/s/jewish_sources/item/18058	".Heimstatt"" Bauspar-Aktien Gesellschaft, Berlin"				5307	QGJ.v1.A0235.I0781.E05384		organizations		".Heimstatt"" Bauspar-Aktien Gesellschaft, Berlin 5307"
Henry (Fa.), Leipzig	QGJ.v1.Org.01722	https://undusting.org/jewish_sources/s/jewish_sources/item/18059	Henry (Fa.), Leipzig				4235	QGJ.v1.A0196.I0643.E04312		organizations		Henry (Fa.), Leipzig 4235
Herzog Franz-Schule, Dessau	QGJ.v1.Org.01723	https://undusting.org/jewish_sources/s/jewish_sources/item/18060	Herzog Franz-Schule, Dessau				2129/1|2953	QGJ.v1.A0109.I0338.E02193|QGJ.v1.A0170.I0534.E03020		organizations		Herzog Franz-Schule, Dessau 2129/1, 2953
Herzogin Anna Amalia-Bibliothek, Weimar	QGJ.v1.Org.01724	https://undusting.org/jewish_sources/s/jewish_sources/item/18061	Herzogin Anna Amalia-Bibliothek, Weimar				7995	QGJ.v1.A0290.I0973.E08089		organizations		Herzogin Anna Amalia-Bibliothek, Weimar 7995
Herzogin Charlotte-Augenheilanstalt, Bad Liebenstein	QGJ.v1.Org.01725	https://undusting.org/jewish_sources/s/jewish_sources/item/18062	Herzogin Charlotte-Augenheilanstalt, Bad Liebenstein				7005	QGJ.v1.A0239.I0849.E07086		organizations		Herzogin Charlotte-Augenheilanstalt, Bad Liebenstein 7005
Herzoglich-Anhaltisches Konsistorium Dessau	QGJ.v1.Org.01726	https://undusting.org/jewish_sources/s/jewish_sources/item/18063	Herzoglich-Anhaltisches Konsistorium Dessau				2952|2953|2954|2955	QGJ.v1.A0170.I0534.E03019|QGJ.v1.A0170.I0534.E03020|QGJ.v1.A0170.I0534.E03021|QGJ.v1.A0170.I0534.E03022		organizations		Herzoglich-Anhaltisches Konsistorium Dessau 2952- 2955
Herzl-Bund	QGJ.v1.Org.01727	https://undusting.org/jewish_sources/s/jewish_sources/item/18064	Herzl-Bund				1811	QGJ.v1.A0100.I0298.E01865		organizations		Herzl-Bund 1811
Hilfsverein der deutschen Juden	QGJ.v1.Org.01728	https://undusting.org/jewish_sources/s/jewish_sources/item/18065	Hilfsverein der deutschen Juden				4505	QGJ.v1.A0209.I0677.E04582		organizations		Hilfsverein der deutschen Juden 4505
Hilfsverein für jüdische Studenten (Studierende)	QGJ.v1.Org.01729	https://undusting.org/jewish_sources/s/jewish_sources/item/18066	Hilfsverein für jüdische Studenten (Studierende)				2084	QGJ.v1.A0108.I0332.E02138		organizations		Hilfsverein für jüdische Studenten (Studierende) 2084
Hochschule für Technik und Wirtschaft Mittweida	QGJ.v1.Org.01730	https://undusting.org/jewish_sources/s/jewish_sources/item/18067	Hochschule für Technik und Wirtschaft Mittweida				4681|4682|4683|4684|4685|4686|4687	QGJ.v1.A0226.I0719.E04758|QGJ.v1.A0226.I0720.E04759|QGJ.v1.A0226.I0721.E04760|QGJ.v1.A0226.I0722.E04761|QGJ.v1.A0226.I0723.E04762|QGJ.v1.A0226.I0723.E04763|QGJ.v1.A0226.I0723.E04764		organizations		Hochschule für Technik und Wirtschaft Mittweida 4681-4687
Hochschule für Technik und Wirtschaft Zwickau	QGJ.v1.Org.01731	https://undusting.org/jewish_sources/s/jewish_sources/item/18068	Hochschule für Technik und Wirtschaft Zwickau				4688	QGJ.v1.A0227.I0724.E04765		organizations		Hochschule für Technik und Wirtschaft Zwickau 4688
Hospital St. Georgii, Hadmersleben	QGJ.v1.Org.01732	https://undusting.org/jewish_sources/s/jewish_sources/item/18069	Hospital St. Georgii, Hadmersleben				2826	QGJ.v1.A0158.I0478.E02892		organizations		Hospital St. Georgii, Hadmersleben 2826
Humboldt-Universität zu Berlin (Friedrich-Wilhelms-Universität)	QGJ.v1.Org.01733	https://undusting.org/jewish_sources/s/jewish_sources/item/18070	Humboldt-Universität zu Berlin (Friedrich-Wilhelms-Universität)				30|1750|1751|1752|1753|1754|1755|1756|1757|1758|1759|1760|1761|1762|1763|1764|1765|1766|1767|1768|1769|1770|1771|1772|1773|1774|1775|1776|1777|1778|1779|1780|1781|1782|1783|1784|1785|1786|1787|1788|1789|1790|1791|1792|1793|1794|1795|1796|1797|1798|1799|1800|1801|1802|1803|1804|1805|1806|1807|1808|1809|1810|1811|1812|1813|1814	QGJ.v1.A0003.I0033.E00052|QGJ.v1.A0100.I0291.E01804|QGJ.v1.A0100.I0291.E01805|QGJ.v1.A0100.I0291.E01806|QGJ.v1.A0100.I0291.E01807|QGJ.v1.A0100.I0291.E01808|QGJ.v1.A0100.I0292.E01809|QGJ.v1.A0100.I0292.E01810|QGJ.v1.A0100.I0292.E01811|QGJ.v1.A0100.I0292.E01812|QGJ.v1.A0100.I0292.E01813|QGJ.v1.A0100.I0292.E01814|QGJ.v1.A0100.I0292.E01815|QGJ.v1.A0100.I0292.E01816|QGJ.v1.A0100.I0292.E01817|QGJ.v1.A0100.I0292.E01818|QGJ.v1.A0100.I0293.E01819|QGJ.v1.A0100.I0293.E01820|QGJ.v1.A0100.I0293.E01821|QGJ.v1.A0100.I0293.E01822|QGJ.v1.A0100.I0293.E01823|QGJ.v1.A0100.I0293.E01824|QGJ.v1.A0100.I0293.E01825|QGJ.v1.A0100.I0293.E01826|QGJ.v1.A0100.I0293.E01827|QGJ.v1.A0100.I0293.E01828|QGJ.v1.A0100.I0293.E01829|QGJ.v1.A0100.I0293.E01830|QGJ.v1.A0100.I0293.E01831|QGJ.v1.A0100.I0293.E01832|QGJ.v1.A0100.I0293.E01833|QGJ.v1.A0100.I0293.E01834|QGJ.v1.A0100.I0293.E01835|QGJ.v1.A0100.I0294.E01836|QGJ.v1.A0100.I0295.E01837|QGJ.v1.A0100.I0295.E01838|QGJ.v1.A0100.I0295.E01839|QGJ.v1.A0100.I0295.E01840|QGJ.v1.A0100.I0295.E01841|QGJ.v1.A0100.I0295.E01842|QGJ.v1.A0100.I0295.E01843|QGJ.v1.A0100.I0295.E01844|QGJ.v1.A0100.I0295.E01845|QGJ.v1.A0100.I0295.E01846|QGJ.v1.A0100.I0295.E01847|QGJ.v1.A0100.I0295.E01848|QGJ.v1.A0100.I0296.E01849|QGJ.v1.A0100.I0296.E01850|QGJ.v1.A0100.I0296.E01851|QGJ.v1.A0100.I0296.E01852|QGJ.v1.A0100.I0297.E01855|QGJ.v1.A0100.I0297.E01856|QGJ.v1.A0100.I0298.E01857|QGJ.v1.A0100.I0298.E01858|QGJ.v1.A0100.I0298.E01859|QGJ.v1.A0100.I0298.E01860|QGJ.v1.A0100.I0296.E01853|QGJ.v1.A0100.I0296.E01854|QGJ.v1.A0100.I0298.E01861|QGJ.v1.A0100.I0298.E01862|QGJ.v1.A0100.I0298.E01863|QGJ.v1.A0100.I0298.E01864|QGJ.v1.A0100.I0298.E01865|QGJ.v1.A0100.I0298.E01866|QGJ.v1.A0100.I0299.E01867|QGJ.v1.A0100.I0300.E01868		organizations		Humboldt-Universität zu Berlin (Friedrich-Wilhelms-Universität) 30,1750-1814
Hygienefon-Fabrik Hermann Jankelowitz	QGJ.v1.Org.01734	https://undusting.org/jewish_sources/s/jewish_sources/item/18071	Hygienefon-Fabrik Hermann Jankelowitz				7364	QGJ.v1.A0255.I0891.E07457		organizations		Hygienefon-Fabrik Hermann Jankelowitz 7364
Ilmenauer Korsettfabrik Albert Zimmer, Ilmenau	QGJ.v1.Org.01735	https://undusting.org/jewish_sources/s/jewish_sources/item/18072	Ilmenauer Korsettfabrik Albert Zimmer, Ilmenau				7465	QGJ.v1.A0261.I0899.E07558		organizations		Ilmenauer Korsettfabrik Albert Zimmer, Ilmenau 7465
Industrie- und Handelskammer	QGJ.v1.Org.01736	https://undusting.org/jewish_sources/s/jewish_sources/item/18073	Industrie- und Handelskammer							organizations		Industrie- und Handelskammer
Industrie- und Handelskammer|Berlin	QGJ.v1.Org.01737	https://undusting.org/jewish_sources/s/jewish_sources/item/18074	Industrie- und Handelskammer|Berlin				1743/2	QGJ.v1.A0094.I0287.E01796		organizations		-Berlin 1743/2
Industrie- und Handelskammer|Chemnitz	QGJ.v1.Org.01738	https://undusting.org/jewish_sources/s/jewish_sources/item/18075	Industrie- und Handelskammer|Chemnitz				2983/5	QGJ.v1.A0173.I0540.E03054		organizations		- Chemnitz 2983/5
Industrie- und Handelskammer|Dresden	QGJ.v1.Org.01739	https://undusting.org/jewish_sources/s/jewish_sources/item/18076	Industrie- und Handelskammer|Dresden				2983/5	QGJ.v1.A0173.I0540.E03054		organizations		-Dresden 2983/5
Industrie- und Handelskammer|Halle	QGJ.v1.Org.01740	https://undusting.org/jewish_sources/s/jewish_sources/item/18077	Industrie- und Handelskammer|Halle				2128/9	QGJ.v1.A0109.I0338.E02190		organizations		- Halle 2128/9
Industrie- und Handelskammer|Magdeburg	QGJ.v1.Org.01741	https://undusting.org/jewish_sources/s/jewish_sources/item/18078	Industrie- und Handelskammer|Magdeburg				2128/9	QGJ.v1.A0109.I0338.E02190		organizations		-Magdeburg 2128/9
Industrie- und Handelskammer|Mühlhausen - Geschäftsstelle Schmalkalden	QGJ.v1.Org.01742	https://undusting.org/jewish_sources/s/jewish_sources/item/18079	Industrie- und Handelskammer|Mühlhausen - Geschäftsstelle Schmalkalden				5361	QGJ.v1.A0235.I0793.E05438		organizations		- Mühlhausen - Geschäftsstelle Schmalkalden 5361
Industrie- und Handelskammer|Mühlhausen	QGJ.v1.Org.01743	https://undusting.org/jewish_sources/s/jewish_sources/item/18080	Industrie- und Handelskammer|Mühlhausen				5360	QGJ.v1.A0235.I0792.E05437		organizations		- Mühlhausen 5360
Industrie- und Handelskammer|Zittau	QGJ.v1.Org.01744	https://undusting.org/jewish_sources/s/jewish_sources/item/18081	Industrie- und Handelskammer|Zittau				2983/5	QGJ.v1.A0173.I0540.E03054		organizations		-Zittau 2983/5
Ingenieurschule Zwickau	QGJ.v1.Org.01745	https://undusting.org/jewish_sources/s/jewish_sources/item/18082	Ingenieurschule Zwickau				4688	QGJ.v1.A0227.I0724.E04765		organizations		Ingenieurschule Zwickau 4688
Innungen:	QGJ.v1.Org.01746	https://undusting.org/jewish_sources/s/jewish_sources/item/18083	Innungen:							organizations		Innungen:
Innungen|Barbierer-Innung, Dresden	QGJ.v1.Org.01747	https://undusting.org/jewish_sources/s/jewish_sources/item/18084	Innungen|Barbierer-Innung, Dresden				3771	QGJ.v1.A0185.I0607.E03848		organizations		- Barbierer-Innung, Dresden 3771
Innungen|Barbierer-Innung, Leipzig	QGJ.v1.Org.01748	https://undusting.org/jewish_sources/s/jewish_sources/item/18085	Innungen|Barbierer-Innung, Leipzig				4100	QGJ.v1.A0196.I0643.E04177		organizations		-Barbierer-Innung, Leipzig 4100
Innungen|Buchbinder-Innung, Dresden	QGJ.v1.Org.01749	https://undusting.org/jewish_sources/s/jewish_sources/item/18086	Innungen|Buchbinder-Innung, Dresden				3775	QGJ.v1.A0185.I0607.E03852		organizations		- Buchbinder-Innung, Dresden 3775
Innungen|Gewandschneider-Innung, Stralsund	QGJ.v1.Org.01750	https://undusting.org/jewish_sources/s/jewish_sources/item/18087	Innungen|Gewandschneider-Innung, Stralsund				814|815|816|817	QGJ.v1.A0033.I0119.E00856|QGJ.v1.A0033.I0119.E00857|QGJ.v1.A0033.I0119.E00858|QGJ.v1.A0033.I0119.E00859		organizations		- Gewandschneider-Innung, Stralsund 814-817
Innungen|Gold- und Silberarbeiter-Innung, Stralsund	QGJ.v1.Org.01751	https://undusting.org/jewish_sources/s/jewish_sources/item/18088	Innungen|Gold- und Silberarbeiter-Innung, Stralsund				874	QGJ.v1.A0033.I0125.E00916		organizations		- Gold- und Silberarbeiter-Innung, Stralsund 874
Innungen|Gold- und Silberarbeiter-Innung, Torgau	QGJ.v1.Org.01752	https://undusting.org/jewish_sources/s/jewish_sources/item/18089	Innungen|Gold- und Silberarbeiter-Innung, Torgau				4549	QGJ.v1.A0212.I0692.E04626		organizations		- Gold- und Silberarbeiter-Innung, Torgau 4549
Innungen|Gold- und Silber-Innung, Leipzig	QGJ.v1.Org.01753	https://undusting.org/jewish_sources/s/jewish_sources/item/18090	Innungen|Gold- und Silber-Innung, Leipzig				4126	QGJ.v1.A0196.I0643.E04203		organizations		- Gold- und Silber-Innung, Leipzig 4126
Innungen|Goldschmiede-Innung, Dresden	QGJ.v1.Org.01754	https://undusting.org/jewish_sources/s/jewish_sources/item/18091	Innungen|Goldschmiede-Innung, Dresden				3776|3777|3778|3779	QGJ.v1.A0185.I0607.E03853|QGJ.v1.A0185.I0607.E03854|QGJ.v1.A0185.I0607.E03855|QGJ.v1.A0185.I0607.E03856		organizations		- Goldschmiede-Innung, Dresden 3776-3779
Innungen|Goldschmiede-Innung, Stralsund	QGJ.v1.Org.01755	https://undusting.org/jewish_sources/s/jewish_sources/item/18092	Innungen|Goldschmiede-Innung, Stralsund				772|774	QGJ.v1.A0033.I0118.E00814|QGJ.v1.A0033.I0118.E00816		organizations		- Goldschmiede-Innung, Stralsund 772, 774,
Innungen|Handels-Innung, Dresden	QGJ.v1.Org.01756	https://undusting.org/jewish_sources/s/jewish_sources/item/18093	Innungen|Handels-Innung, Dresden				3405|3690|3691|3749|3750|3751|3752|3753|3754|3755|3756|3757|3758|3759|3760|3761|3762|3763|3764|3765|3766|3767	QGJ.v1.A0185.I0588.E03482|QGJ.v1.A0185.I0588.E03767|QGJ.v1.A0185.I0588.E03768|QGJ.v1.A0185.I0607.E03826|QGJ.v1.A0185.I0607.E03827|QGJ.v1.A0185.I0607.E03828|QGJ.v1.A0185.I0607.E03829|QGJ.v1.A0185.I0607.E03830|QGJ.v1.A0185.I0607.E03831|QGJ.v1.A0185.I0607.E03832|QGJ.v1.A0185.I0607.E03833|QGJ.v1.A0185.I0607.E03834|QGJ.v1.A0185.I0607.E03835|QGJ.v1.A0185.I0607.E03836|QGJ.v1.A0185.I0607.E03837|QGJ.v1.A0185.I0607.E03838|QGJ.v1.A0185.I0607.E03839|QGJ.v1.A0185.I0607.E03840|QGJ.v1.A0185.I0607.E03841|QGJ.v1.A0185.I0607.E03842|QGJ.v1.A0185.I0607.E03843|QGJ.v1.A0185.I0607.E03844		organizations		-Handels-Innung, Dresden 3405, 3690, 3691, 3749- 3767
Innungen|Hutmacher-Innung, Stralsund	QGJ.v1.Org.01757	https://undusting.org/jewish_sources/s/jewish_sources/item/18094	Innungen|Hutmacher-Innung, Stralsund				875	QGJ.v1.A0033.I0125.E00917		organizations		- Hutmacher-Innung, Stralsund 875
Innungen|Kramer-Innung, Altenburg	QGJ.v1.Org.01758	https://undusting.org/jewish_sources/s/jewish_sources/item/18095	Innungen|Kramer-Innung, Altenburg				5407|5408|5451|7132	QGJ.v1.A0236.I0801.E05484|QGJ.v1.A0236.I0801.E05485|QGJ.v1.A0236.I0814.E05528|QGJ.v1.A0241.I0861.E07213		organizations		- Kramer-Innung, Altenburg 5407, 5408, 5451, 7132
Innungen|Kramer-Innung, Eilenburg	QGJ.v1.Org.01759	https://undusting.org/jewish_sources/s/jewish_sources/item/18096	Innungen|Kramer-Innung, Eilenburg				3798	QGJ.v1.A0185.I0611.E03872		organizations		- Kramer-Innung, Eilenburg 3798
