Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Arbeitsgemeinschaft der jüdischen Landesverbände	QGJ.v1.Org.01552	https://undusting.org/jewish_sources/s/jewish_sources/item/17889	Arbeitsgemeinschaft der jüdischen Landesverbände				162/2	QGJ.v1.A0006.I0053.E00189		organizations		Arbeitsgemeinschaft der jüdischen Landesverbände 162/2
Aschinger AG	QGJ.v1.Org.01553	https://undusting.org/jewish_sources/s/jewish_sources/item/17890	Aschinger AG				1743/2	QGJ.v1.A0094.I0287.E01796		organizations		Aschinger AG 1743/2
Association of Jewish Refugees in Great Britain	QGJ.v1.Org.01554	https://undusting.org/jewish_sources/s/jewish_sources/item/17891	Association of Jewish Refugees in Great Britain				1971|1989	QGJ.v1.A0107.I0327.E02025|QGJ.v1.A0107.I0327.E02043		organizations		Association of Jewish Refugees in Great Britain 1971; 1989
Auerbach & Scheibe, Werkzeugmaschinenfabrik und Eisengießerei, Saalfeld	QGJ.v1.Org.01555	https://undusting.org/jewish_sources/s/jewish_sources/item/17892	Auerbach & Scheibe, Werkzeugmaschinenfabrik und Eisengießerei, Saalfeld				5207|5368	QGJ.v1.A0235.I0769.E05284|QGJ.v1.A0235.I0796.E05445		organizations		Auerbach & Scheibe, Werkzeugmaschinenfabrik und Eisengießerei, Saalfeld 5207,5368
Ausschuß für Volksaufklärung	QGJ.v1.Org.01556	https://undusting.org/jewish_sources/s/jewish_sources/item/17893	Ausschuß für Volksaufklärung				2002|2004|2009	QGJ.v1.A0107.I0327.E02056|QGJ.v1.A0107.I0327.E02058|QGJ.v1.A0107.I0327.E02063		organizations		Ausschuß für Volksaufklärung 2002,2004,2009
Ausschuß Opfer des Faschismus	QGJ.v1.Org.01557	https://undusting.org/jewish_sources/s/jewish_sources/item/17894	Ausschuß Opfer des Faschismus				1639|1640|1644	QGJ.v1.A0087.I0259.E01687|QGJ.v1.A0087.I0259.E01688|QGJ.v1.A0087.I0259.E01692		organizations		Ausschuß Opfer des Faschismus 1639,1640,1644
Bankhaus Karl Meinhardt, Meiningen	QGJ.v1.Org.01558	https://undusting.org/jewish_sources/s/jewish_sources/item/17895	Bankhaus Karl Meinhardt, Meiningen				6996	QGJ.v1.A0239.I0849.E07077		organizations		Bankhaus Karl Meinhardt, Meiningen 6996
Bankhaus Meyer & Comp., Leipzig	QGJ.v1.Org.01559	https://undusting.org/jewish_sources/s/jewish_sources/item/17896	Bankhaus Meyer & Comp., Leipzig				4182|4245	QGJ.v1.A0196.I0643.E04259|QGJ.v1.A0196.I0643.E04322		organizations		Bankhaus Meyer & Comp., Leipzig 4182,4245
Bankhaus Stürcke, Erfurt	QGJ.v1.Org.01560	https://undusting.org/jewish_sources/s/jewish_sources/item/17897	Bankhaus Stürcke, Erfurt				5311	QGJ.v1.A0235.I0784.E05388		organizations		Bankhaus Stürcke, Erfurt 5311
Baruch Auerbachsches Waisen- und Erziehungsinstitut	QGJ.v1.Org.01561	https://undusting.org/jewish_sources/s/jewish_sources/item/17898	Baruch Auerbachsches Waisen- und Erziehungsinstitut				1743/1	QGJ.v1.A0094.I0287.E01795		organizations		Baruch Auerbachsches Waisen- und Erziehungsinstitut 1743/1
BBC	QGJ.v1.Org.01562	https://undusting.org/jewish_sources/s/jewish_sources/item/17899	BBC				1903	QGJ.v1.A0103.I0316.E01957		organizations		BBC 1903
Bekennende Kirche	QGJ.v1.Org.01563	https://undusting.org/jewish_sources/s/jewish_sources/item/17900	Bekennende Kirche				4689|4690|4691|4692|4693	QGJ.v1.A0228.I0725.E04766|QGJ.v1.A0228.I0725.E04767|QGJ.v1.A0228.I0725.E04768|QGJ.v1.A0228.I0725.E04769|QGJ.v1.A0228.I0725.E04770		organizations		Bekennende Kirche 4689-4693
Beiziger Internat für Oberschüler	QGJ.v1.Org.01564	https://undusting.org/jewish_sources/s/jewish_sources/item/17901	Beiziger Internat für Oberschüler				1658	QGJ.v1.A0088.I0260.E01706		organizations		Beiziger Internat für Oberschüler 1658
Siegmund Benjamin Nachf., Salzwedel	QGJ.v1.Org.01565	https://undusting.org/jewish_sources/s/jewish_sources/item/17902	Siegmund Benjamin Nachf., Salzwedel				2663	QGJ.v1.A0150.I0449.E02730		organizations		Siegmund Benjamin Nachf., Salzwedel 2663
Sophus Berendsen (Fa.), Dänemark	QGJ.v1.Org.01566	https://undusting.org/jewish_sources/s/jewish_sources/item/17903	Sophus Berendsen (Fa.), Dänemark				7984	QGJ.v1.A0287.I0968.E08078		organizations		Sophus Berendsen (Fa.), Dänemark 7984
