Identifier	Entry	Omeka	Entry_Clean_Recon	Wikidata	TextInBrackets	RelatedLocations	spatial coverage	NumberOfEntries	EntriesIdentifier	StartYear	endYear	OmekaID	SeeAlso	File	Comment	Column 1	Location_in_index
QGJ.v1.Per.02160	Aaron (Mühlhausen)	https://undusting.org/jewish_sources/s/jewish_sources/item/11592	Aaron		Mühlhausen	Mühlhausen|Thüringen	17230|17701	1	QGJ.v1.A0269.I0916.E07649			11101		persons		Aaron (Mühlhausen) 7556	Mühlhausen
QGJ.v1.Per.02161	Aaron (Saalfeld)	https://undusting.org/jewish_sources/s/jewish_sources/item/11593	Aaron		Saalfeld	Alsfeld|Mühlhausen|Saalfeld|Thüringen	16350|17230|17508|17701	1	QGJ.v1.A0269.I0916.E07646			11098		persons		Aaron (Saalfeld) 7553	Saalfeld
QGJ.v1.Per.02162	Aaron, Abraham	https://undusting.org/jewish_sources/s/jewish_sources/item/11594	Abraham Aaron	Q20752017		Altenburg|Thüringen	16354|17701	1	QGJ.v1.A0236.I0802.E05493			8945		persons		Aaron, Abraham 5416	
QGJ.v1.Per.02163	Aaron, Coppel	https://undusting.org/jewish_sources/s/jewish_sources/item/11595	Aaron, Coppel			Mehlis|Sachsen-Gotha|Schwarza|Thüringen|Zella-Mehlis	17194|17517|17583|17701|17854	3	QGJ.v1.A0239.I0831.E06237|QGJ.v1.A0239.I0831.E06320|QGJ.v1.A0239.I0831.E06535	1828	1828	9689|9772|9987		persons		Aaron, Coppel 6156,6239, 6454	
QGJ.v1.Per.02164	Aaron, Cosmann	https://undusting.org/jewish_sources/s/jewish_sources/item/11596	Aaron, Cosmann			Eckloffstein|Hildburghausen|Thüringen	16643|16934|17701	1	QGJ.v1.A0239.I0835.E06574			10026		persons		Aaron, Cosmann 6493	
QGJ.v1.Per.02165	Aaron, David	https://undusting.org/jewish_sources/s/jewish_sources/item/11597	Aaron, David			Burgkunstadt|Oberlauringen|Schwarza|Thüringen	16546|17326|17583|17701	1	QGJ.v1.A0239.I0831.E06172			9624		persons		Aaron, David 6091	
QGJ.v1.Per.02166	Aaron, Hirsch	https://undusting.org/jewish_sources/s/jewish_sources/item/11598	Aaron, Hirsch			Angelroda|Benshausen|Ebertshausen|Frankfurt/Main|Henneberg-Schleusingen|Mehlis|Münchweiler|Rohr|Schwarza|Steinbach|Thüringen	16369|16446|16640|16718|16916|17194|17233|17482|17583|17647|17701	18	QGJ.v1.A0239.I0831.E05728|QGJ.v1.A0239.I0831.E05761|QGJ.v1.A0239.I0831.E05788|QGJ.v1.A0239.I0831.E05826|QGJ.v1.A0239.I0831.E05880|QGJ.v1.A0239.I0831.E05950|QGJ.v1.A0239.I0831.E05957|QGJ.v1.A0239.I0831.E05982|QGJ.v1.A0239.I0831.E05988|QGJ.v1.A0239.I0831.E06002|QGJ.v1.A0239.I0831.E06004|QGJ.v1.A0239.I0831.E06005|QGJ.v1.A0239.I0831.E06006|QGJ.v1.A0239.I0831.E06007|QGJ.v1.A0239.I0831.E06008|QGJ.v1.A0239.I0831.E06125|QGJ.v1.A0239.I0831.E06321|QGJ.v1.A0239.I0831.E06448	1785	1828	9180|9213|9240|9278|9332|9402|9409|9434|9440|9454|9456|9457|9458|9459|9460|9577|9773|9900		persons		Aaron, Hirsch 5647, 5680, 5707, 5745, 5799, 5869, 5876, 5901, 5907, 5921, 5923, 5924-5927, 6044,6240,6367	
QGJ.v1.Per.02167	Aaron, Israel	https://undusting.org/jewish_sources/s/jewish_sources/item/11599	Aaron, Israel			Schwarza|Thüringen|Viernau	17583|17701|17746	1	QGJ.v1.A0239.I0831.E05771			9223		persons		Aaron, Israel 5690	
QGJ.v1.Per.02168	Aaron, Jacob	https://undusting.org/jewish_sources/s/jewish_sources/item/11600	Aaron, Jacob			Mecklenburg-Vorpommern|Schwerin	17192|17599	1	QGJ.v1.A0031.I0110.E00645			4097		persons		Aaron, Jacob 603	
QGJ.v1.Per.02169	Aaron, Jakob	https://undusting.org/jewish_sources/s/jewish_sources/item/11601	Aaron, Jakob			Heinrichs|Schwarza|Thüringen	16904|17583|17701	1	QGJ.v1.A0239.I0831.E06295	1827	1827	9747		persons		Aaron, Jakob 6214	
QGJ.v1.Per.02170	Aaron, Joseph	https://undusting.org/jewish_sources/s/jewish_sources/item/11602	Aaron, Joseph			Schwarza|Thüringen	17583|17701	1	QGJ.v1.A0239.I0831.E05744			9196		persons		Aaron, Joseph 5663	
QGJ.v1.Per.02171	Aaron, Joseph Philipp	https://undusting.org/jewish_sources/s/jewish_sources/item/11603	Aaron, Joseph Philipp			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03711			7163		persons		Aaron, Joseph Philipp 3634	
QGJ.v1.Per.02172	Aaron, Koppel	https://undusting.org/jewish_sources/s/jewish_sources/item/11604	Aaron C Koppel	Q92755412		Elgersburg|Schwarza|Suhl|Thüringen	16663|17583|17676|17701	10	QGJ.v1.A0239.I0831.E05701|QGJ.v1.A0239.I0831.E05905|QGJ.v1.A0239.I0831.E05909|QGJ.v1.A0239.I0831.E05913|QGJ.v1.A0239.I0831.E06075|QGJ.v1.A0239.I0831.E06123|QGJ.v1.A0239.I0831.E06266|QGJ.v1.A0239.I0831.E06270|QGJ.v1.A0239.I0831.E06286|QGJ.v1.A0239.I0831.E06294	1811	1826	9153|9357|9361|9365|9527|9575|9718|9722|9738|9746		persons		Aaron, Koppel 5620, 5824, 5828, 5832, 5994, 6042, 6185, 6189, 6205,6213	
QGJ.v1.Per.02173	Aaron, Levi	https://undusting.org/jewish_sources/s/jewish_sources/item/11605	Aaron, Levi			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03548			7000		persons		Aaron, Levi 3471	
QGJ.v1.Per.02174	Aaron, Loebel	https://undusting.org/jewish_sources/s/jewish_sources/item/11606	Aaron, Loebel			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03673			7125		persons		Aaron, Loebel 3596	
QGJ.v1.Per.02175	Aaron, Lohser	https://undusting.org/jewish_sources/s/jewish_sources/item/11607	Aaron, Lohser			Mecklenburg-Vorpommern|Schwerin	17192|17599	1	QGJ.v1.A0031.I0110.E00703			4155		persons		Aaron, Lohser 661	
QGJ.v1.Per.02176	Aaron, Manasse	https://undusting.org/jewish_sources/s/jewish_sources/item/11608	Aaron, Manasse			Bernau|Brandenburg (Land)	16459|16512	1	QGJ.v1.A0055.I0176.E01244	1703	1703	4696		persons		Aaron, Manasse 1196	
QGJ.v1.Per.02177	Aaron, Michel	https://undusting.org/jewish_sources/s/jewish_sources/item/11609	Aaron, Michel			Kühndorf|Schwarza|Thüringen|Wichtshausen	17081|17583|17701|17803	1	QGJ.v1.A0239.I0831.E05743	1785	1786	9195		persons		Aaron, Michel 5662	
QGJ.v1.Per.02178	Aaron, Nathan	https://undusting.org/jewish_sources/s/jewish_sources/item/11610	Aaron, Nathan			Altenburg|Altona|Crivitz|Hildburghausen|Mecklenburg-Schwerin, Herzogtum|Mecklenburg-Vorpommern|Parchim|Ribnitz|Rostock|Sachsen-Hildburghausen|Thüringen|Warschau	16354|16363|16581|16934|17190|17192|17372|17467|17491|17518|17701|17774	3	QGJ.v1.A0043.I0163.E01104|QGJ.v1.A0236.I0799.E05456|QGJ.v1.A0239.I0842.E06892	1747	1813	4556|8908|10344		persons		Aaron, Nathan 1062,5379,6811	
QGJ.v1.Per.02179	Aaron, Philipp	https://undusting.org/jewish_sources/s/jewish_sources/item/11611	Aaron, Philipp			Altona|Crivitz|Dresden|Mecklenburg-Schwerin, Herzogtum|Mecklenburg-Vorpommern|Parchim|Ribnitz|Rostock|Sachsen	16363|16581|16630|17190|17192|17372|17467|17491|17509	2	QGJ.v1.A0043.I0163.E01104|QGJ.v1.A0185.I0588.E03533	1747	1838	4556|6985		persons		Aaron, Philipp 1062,3456	
QGJ.v1.Per.02180	Aaron, Scheier	https://undusting.org/jewish_sources/s/jewish_sources/item/11612	Aaron, Scheier			Benshausen|Dietzhausen|Schwarza|Thüringen	16446|16614|17583|17701	2	QGJ.v1.A0239.I0831.E05849|QGJ.v1.A0239.I0831.E05995	1802	1802	9301|9447		persons		Aaron, Scheier 5768,5914	
QGJ.v1.Per.02181	Aaron, Scheyer	https://undusting.org/jewish_sources/s/jewish_sources/item/11613	Aaron, Scheyer			Schwarza|Thüringen	17583|17701	2	QGJ.v1.A0239.I0831.E05731|QGJ.v1.A0239.I0831.E06446	1807	1812	9183|9898		persons		Aaron, Scheyer 5650, 6365	
QGJ.v1.Per.02182	Abelsdorff, Georg	https://undusting.org/jewish_sources/s/jewish_sources/item/11614	Georg Abelsdorff	Q11699627		Berlin	16455	1	QGJ.v1.A0100.I0295.E01844	1933	1933	5296		persons		Abelsdorff, Georg 1790	
QGJ.v1.Per.02183	Abelsdorff, Ruth	https://undusting.org/jewish_sources/s/jewish_sources/item/11615	Abelsdorff, Ruth					1	QGJ.v1.A0103.I0316.E01963	1933	1941	5415		persons		Abelsdorff, Ruth 1909	
QGJ.v1.Per.02184	Abesser, Margarethe	https://undusting.org/jewish_sources/s/jewish_sources/item/11616	Abesser, Margarethe			Rohr|Schwarza|Thüringen	17482|17583|17701	1	QGJ.v1.A0239.I0831.E05988	1802	1802	9440		persons		Abesser, Margarethe 5907	
QGJ.v1.Per.02185	Abesser, Maria Barbara	https://undusting.org/jewish_sources/s/jewish_sources/item/11617	Abesser, Maria Barbara			Rohr|Schwarza|Thüringen	17482|17583|17701	1	QGJ.v1.A0239.I0831.E05927	1820	1820	9379		persons		Abesser, Maria Barbara 5846	
QGJ.v1.Per.02186	Abraham (Magdeburg)	https://undusting.org/jewish_sources/s/jewish_sources/item/11618	Abraham		Magdeburg	Erfurt|Hessen-Darmstadt|Magdeburg|Mainz|Nordhausen|Thüringen	16675|16929|17164|17165|17313|17701	2	QGJ.v1.A0252.I0884.E07354|QGJ.v1.A0269.I0918.E07832	1439	1439	10806|11284		persons		Abraham (Magdeburg) 7261,7738	Magdeburg
QGJ.v1.Per.02187	Abraham (Mosbach)	https://undusting.org/jewish_sources/s/jewish_sources/item/11619	Abraham		Mosbach	Franken|Mosbach|Schmalkalden|Schwarza|Thüringen	16709|17225|17559|17583|17701	1	QGJ.v1.A0239.I0831.E05669			9121		persons		Abraham (Mosbach) 5588	Mosbach
QGJ.v1.Per.02188	Abraham (Neubrunn)	https://undusting.org/jewish_sources/s/jewish_sources/item/11620	Abraham		Neubrunn	Henneberg|Henneberg, Grafschaft|Neubrunn|Thüringen	16914|16915|17254|17701	1	QGJ.v1.A0239.I0828.E05623			9075		persons		Abraham (Neubrunn) 5542	Neubrunn
QGJ.v1.Per.02189	Abraham (Schwanfeld)	https://undusting.org/jewish_sources/s/jewish_sources/item/11621	Abraham		Schwanfeld	Gerolzhofen|Henneberg|Henneberg, Grafschaft|Meiningen|Schwanfeld|Thüringen	16775|16914|16915|17195|17581|17701	1	QGJ.v1.A0239.I0828.E05643	1540	1540	9095		persons		Abraham (Schwanfeld) 5562	Schwanfeld
QGJ.v1.Per.02190	Abraham (Schweinfurt)	https://undusting.org/jewish_sources/s/jewish_sources/item/11622	Abraham		Schweinfurt	Henneberg|Henneberg, Grafschaft|Schweinfurt|Thüringen	16914|16915|17594|17701	1	QGJ.v1.A0239.I0827.E05594			9046		persons		Abraham (Schweinfurt) 5513	Schweinfurt
QGJ.v1.Per.02191	Abraham (Schwerin)	https://undusting.org/jewish_sources/s/jewish_sources/item/11623	Abraham		Schwerin	Brandenburg (Land)|Frankfurt/Oder|Mecklenburg-Vorpommern|Polen|Schwerin	16512|16719|17192|17402|17599	2	QGJ.v1.A0031.I0110.E00603|QGJ.v1.A0066.I0203.E01451			4055|4903		persons		Abraham (Schwerin) 561,1403	Schwerin
QGJ.v1.Per.02192	Abraham, Alexander	https://undusting.org/jewish_sources/s/jewish_sources/item/11624	Abraham, Alexander			Berlin	16455	1	QGJ.v1.A0108.I0332.E02111			5563		persons		Abraham, Alexander 2057	
QGJ.v1.Per.02193	Abraham, Behr	https://undusting.org/jewish_sources/s/jewish_sources/item/11625	Abraham, Behr			Altenburg|Ronneburg|Strelitz (Altstrelitz)|Thüringen	16354|17486|17665|17701	1	QGJ.v1.A0236.I0803.E05496			8948		persons		Abraham, Behr 5424	
QGJ.v1.Per.02194	Abraham, Benedix	https://undusting.org/jewish_sources/s/jewish_sources/item/11626	Abraham, Benedix			Mecklenburg-Vorpommern|Stralsund	17192|17661	1	QGJ.v1.A0033.I0118.E00837			4289		persons		Abraham, Benedix 795	
QGJ.v1.Per.02195	Abraham, Benno	https://undusting.org/jewish_sources/s/jewish_sources/item/11627	Abraham, Benno			Mecklenburg-Vorpommern|Stralsund	17192|17661	1	QGJ.v1.A0033.I0118.E00835			4287		persons		Abraham, Benno 793	
QGJ.v1.Per.02196	Abraham, David	https://undusting.org/jewish_sources/s/jewish_sources/item/11628	Abraham, David			Mecklenburg-Vorpommern|Schwerin	17192|17599	1	QGJ.v1.A0031.I0110.E00698			4150		persons		Abraham, David 656	
QGJ.v1.Per.02197	Abraham, genannt Frank (Gerolzhofen)	https://undusting.org/jewish_sources/s/jewish_sources/item/11629	Abraham, genannt Frank		Gerolzhofen	Gerolzhofen|Henneberg|Henneberg, Grafschaft|Thüringen	16775|16914|16915|17701	1	QGJ.v1.A0239.I0828.E05607	1561	1561	9059		persons		Abraham, genannt Frank (Gerolzhofen) 5526	Gerolzhofen
QGJ.v1.Per.02198	Abraham, Gerson	https://undusting.org/jewish_sources/s/jewish_sources/item/11630	Abraham, Gerson			Mecklenburg-Vorpommern|Stralsund	17192|17661	6	QGJ.v1.A0033.I0118.E00775|QGJ.v1.A0033.I0118.E00777|QGJ.v1.A0033.I0118.E00779|QGJ.v1.A0033.I0118.E00780|QGJ.v1.A0033.I0118.E00850|QGJ.v1.A0033.I0125.E00915	1707	1793	4227|4229|4231|4232|4302|4367		persons		Abraham, Gerson 733, 735, 737, 738, 808,873	
QGJ.v1.Per.02199	Abraham, Itzig	https://undusting.org/jewish_sources/s/jewish_sources/item/11631	Abraham, Itzig			Brandenburg (Land)|Frankfurt/Oder	16512|16719	1	QGJ.v1.A0066.I0203.E01471	1736	1796	4923		persons		Abraham, Itzig 1423	
QGJ.v1.Per.02200	Abraham, Jacob	https://undusting.org/jewish_sources/s/jewish_sources/item/11632	Abraham, Jacob			Berlin|Greiz|Illow (Ungarn)|Thüringen|Ungarn	16455|16825|16964|17701|17731	2	QGJ.v1.A0108.I0332.E02115|QGJ.v1.A0238.I0818.E05553			5567|9005		persons		Abraham, Jacob 2061,5472	
QGJ.v1.Per.02201	Abraham, Leb	https://undusting.org/jewish_sources/s/jewish_sources/item/11633	Abraham, Leb			Eisenach|Sachsen-Weimar-Eisenach|Thüringen	16654|17521|17701	1	QGJ.v1.A0235.I0757.E05065			8517		persons		Abraham, Leb 4988	
QGJ.v1.Per.02202	Abraham, Levin	https://undusting.org/jewish_sources/s/jewish_sources/item/11634	Abraham, Levin			Bützow|Mecklenburg-Vorpommern|Ribnitz	16542|17192|17467	1	QGJ.v1.A0011.I0058.E00232	1746	1746	3684		persons		Abraham, Levin 190	
QGJ.v1.Per.02203	Abraham, Lippmann	https://undusting.org/jewish_sources/s/jewish_sources/item/11635	Abraham, Lippmann			Mehlis|Memelsdorf|Sachsen-Gotha|Schwarza|Thüringen|Zella-Mehlis	17194|17200|17517|17583|17701|17854	3	QGJ.v1.A0239.I0831.E06423|QGJ.v1.A0239.I0831.E06540|QGJ.v1.A0239.I0831.E06542			9875|9992|9994		persons		Abraham, Lippmann 6342, 6459, 6461	
QGJ.v1.Per.02204	Abraham, Loeser	https://undusting.org/jewish_sources/s/jewish_sources/item/11636	Abraham Loeser	Q105364803		Schwarza|Thüringen	17583|17701	1	QGJ.v1.A0239.I0831.E05897			9349		persons		Abraham, Loeser 5816	
QGJ.v1.Per.02205	Abraham, Marcus	https://undusting.org/jewish_sources/s/jewish_sources/item/11637	Abraham, Marcus			Berka|Eisenach|Halle/Saale|Sachsen-Weimar-Eisenach|Thüringen	16453|16654|16875|17521|17701	1	QGJ.v1.A0235.I0757.E05046			8498		persons		Abraham, Marcus 4969	
QGJ.v1.Per.02206	Abraham, Max	https://undusting.org/jewish_sources/s/jewish_sources/item/11638	Abraham, Max			Leipzig|Sachsen	17112|17509	2	QGJ.v1.A0173.I0540.E03058|QGJ.v1.A0196.I0643.E04312	1799	1949	6510|7764		persons		Abraham, Max 2984/4,4235	
QGJ.v1.Per.02207	Abraham, Michel	https://undusting.org/jewish_sources/s/jewish_sources/item/11639	Abraham, Michel			Schwarza|Thüringen	17583|17701	1	QGJ.v1.A0239.I0831.E06352			9804		persons		Abraham, Michel 6271	
QGJ.v1.Per.02208	Abraham, Moses	https://undusting.org/jewish_sources/s/jewish_sources/item/11640	Abraham, Moses			Brandenburg (Land)|Frankfurt/Oder|Leipzig|Marisfeld|Sachsen|Thüringen	16512|16719|17112|17177|17509|17701	3	QGJ.v1.A0066.I0208.E01522|QGJ.v1.A0196.I0638.E04061|QGJ.v1.A0239.I0839.E06794	1758	1822	4974|7513|10246		persons		Abraham, Moses 1474,3984,6713	
QGJ.v1.Per.02209	Abraham, Nathan	https://undusting.org/jewish_sources/s/jewish_sources/item/11641	Abraham, Nathan			Mecklenburg-Vorpommern|Stralsund	17192|17661	5	QGJ.v1.A0033.I0118.E00790|QGJ.v1.A0033.I0118.E00804|QGJ.v1.A0033.I0118.E00831|QGJ.v1.A0033.I0118.E00835|QGJ.v1.A0033.I0120.E00863	1787	1801	4242|4256|4283|4287|4315		persons		Abraham, Nathan 748, 762, 789, 793, 821	
QGJ.v1.Per.02210	Abraham, Rosine	https://undusting.org/jewish_sources/s/jewish_sources/item/11642	Abraham, Rosine			Mecklenburg-Vorpommern|Rostock|Schwaan|Tessin	17192|17491|17577|17692	1	QGJ.v1.A0030.I0098.E00549	1735	1817	4001		persons		Abraham, Rosine 507	
QGJ.v1.Per.02211	Abraham, Samuel	https://undusting.org/jewish_sources/s/jewish_sources/item/11643	Abraham, Samuel			Lengsfeld|Pares (?)|Schwarza|Thüringen	17113|17373|17583|17701	2	QGJ.v1.A0239.I0831.E06078|QGJ.v1.A0239.I0831.E06538	1807	1807	9530|9990		persons		Abraham, Samuel 5997,6457	
QGJ.v1.Per.02212	Abraham, Susmann	https://undusting.org/jewish_sources/s/jewish_sources/item/11644	Abraham, Susmann			Mühlhausen|Thüringen	17230|17701	1	QGJ.v1.A0269.I0917.E07721	1747	1747	11173		persons		Abraham, Susmann 7628	
QGJ.v1.Per.02213	Abraham, Wolf	https://undusting.org/jewish_sources/s/jewish_sources/item/11645	Abraham, Wolf			Halle (Helle)|Hamburg|Sachsen-Meiningen|Thüringen	16873|16877|17519|17701	1	QGJ.v1.A0239.I0836.E06624			10076		persons		Abraham, Wolf 6543	
QGJ.v1.Per.02214	Abrahamson, Itzig Julius	https://undusting.org/jewish_sources/s/jewish_sources/item/11646	Abrahamson, Itzig Julius			Mühlhausen|Thüringen	17230|17701	1	QGJ.v1.A0269.I0918.E07785	1901	1901	11237		persons		Abrahamson, Itzig Julius 7692	
QGJ.v1.Per.02215	Abrahamson, Julius Behr	https://undusting.org/jewish_sources/s/jewish_sources/item/11647	Abrahamson, Julius Behr			Mecklenburg-Vorpommern|Neustrelitz	17192|17286	1	QGJ.v1.A0023.I0082.E00436	1806	1806	3888		persons		Abrahamson, Julius Behr 394	
QGJ.v1.Per.02216	Abramowitz, Leo	https://undusting.org/jewish_sources/s/jewish_sources/item/11648	Abramowitz, Leo			Jerusalem|Klaffenbach|Sachsen	16986|17024|17509	1	QGJ.v1.A0199.I0654.E04446	1905	1909	7898		persons		Abramowitz, Leo 4369	
QGJ.v1.Per.02217	Abramowitz, Marcus Benjamin Itzig	https://undusting.org/jewish_sources/s/jewish_sources/item/11649	Abramowitz, Marcus Benjamin Itzig			Leipzig|Sachsen	17112|17509	1	QGJ.v1.A0196.I0643.E04172			7624		persons		Abramowitz, Marcus Benjamin Itzig 4095	
QGJ.v1.Per.02218	Abramson, Abraham	https://undusting.org/jewish_sources/s/jewish_sources/item/11650	Abramson, Abraham			Braunschweig|Sachsen|Thüringen	16517|17509|17701	2	QGJ.v1.A0235.I0766.E05271|QGJ.v1.A0235.I0766.E05273	1789	1789	8723|8725		persons		Abramson, Abraham 5194, 5196	
QGJ.v1.Per.02219	Abusch, Alexander	https://undusting.org/jewish_sources/s/jewish_sources/item/11651	Alexander Abusch	Q62459		Amerika|Großbritannien (England)|Israel|Palästina	16365|16844|16973|17371	1	QGJ.v1.A0103.I0316.E01951	1891	1992	5403		persons		Abusch, Alexander 1897	
QGJ.v1.Per.02220	Ackermann, Emil	https://undusting.org/jewish_sources/s/jewish_sources/item/11652	Ackermann, Emil			Brandenburg (Land)|Mahn- und Gedenkstätten|Sachsenhausen (KZ)	16512|17525	1	QGJ.v1.A0094.I0287.E01784			5236		persons		Ackermann, Emil 1736	
QGJ.v1.Per.02221	Ackern, Wilhelm von	https://undusting.org/jewish_sources/s/jewish_sources/item/11653	Ackern, Wilhelm von			Berlin	16455	1	QGJ.v1.A0108.I0332.E02155	1933	1945	5607		persons		Ackern, Wilhelm von 2101	
QGJ.v1.Per.02222	Adelheid, Herzogin von Clarence	https://undusting.org/jewish_sources/s/jewish_sources/item/11654	Adelheid, Herzogin von Clarence			Meiningen|Thüringen	17195|17701	1	QGJ.v1.A0239.I0847.E07060	1818	1819	10512		persons		Adelheid, Herzogin von Clarence 6979	
QGJ.v1.Per.02223	Adelssen, Robert	https://undusting.org/jewish_sources/s/jewish_sources/item/11655	Adelssen, Robert			Brandenburg (Land)|Prenzlau	16512|17414	1	QGJ.v1.A0081.I0249.E01651	1931	1940	5103		persons		Adelssen, Robert 1601	
QGJ.v1.Per.02224	Adeltzheim, Wendel von	https://undusting.org/jewish_sources/s/jewish_sources/item/11656	Adeltzheim, Wendel von			Henneberg|Henneberg, Grafschaft|Obervolkach|Thüringen|Würzburg	16914|16915|17333|17701|17842	1	QGJ.v1.A0239.I0828.E05626			9078		persons		Adeltzheim, Wendel von 5545	
QGJ.v1.Per.02225	Adler, Adolph	https://undusting.org/jewish_sources/s/jewish_sources/item/11657	Adler, Adolph			Mecklenburg-Vorpommern|Parchim|Wittenberg	17192|17372|17813	1	QGJ.v1.A0025.I0089.E00484	1841	1841	3936		persons		Adler, Adolph 442	
QGJ.v1.Per.02226	Adler, G. C.	https://undusting.org/jewish_sources/s/jewish_sources/item/11658	Adler, G. C.			Mecklenburg-Vorpommern|Rostock	17192|17491	1	QGJ.v1.A0043.I0163.E01122			4574		persons		Adler, G. C. 1080	
QGJ.v1.Per.02227	Adolf, Graf von Nassau	https://undusting.org/jewish_sources/s/jewish_sources/item/11659	Adolf, Graf von Nassau			Erfurt|Mainz|Nassau|Thüringen	16675|17165|17242|17701	1	QGJ.v1.A0252.I0884.E07345			10797		persons		Adolf, Graf von Nassau 7252	
QGJ.v1.Per.02228	Adolph, Nicolaus	https://undusting.org/jewish_sources/s/jewish_sources/item/11660	Adolph, Nicolaus			Innungen|Leipzig|Sachsen	17112|17509	1	QGJ.v1.A0196.I0643.E04177	1711	1711	7629		persons		Adolph, Nicolaus 4100	
QGJ.v1.Per.02229	Adolph Friedrich IV., Herzog zu Mecklenburg-Schwerin	https://undusting.org/jewish_sources/s/jewish_sources/item/11661	Adolph Friedrich IV., Herzog zu Mecklenburg-Schwerin			Berlin|DDR|Mecklenburg|Mecklenburg-Strelitz, Herzogtum|Mecklenburg-Vorpommern|Neustrelitz|Strelitz (Altstrelitz)|Vorpommern	16455|16598|17189|17191|17192|17286|17665|17752	1	QGJ.v1.A0050.I0171.E01155			4607		persons		Adolph Friedrich IV., Herzog zu Mecklenburg-Schwerin 1113	
QGJ.v1.Per.02230	Adorno, Gretel	https://undusting.org/jewish_sources/s/jewish_sources/item/11662	Gretel Adorno	Q1525474		Paris	17374	1	QGJ.v1.A0103.I0316.E01956	1871	1988	5408		persons		Adorno, Gretel 1902	
QGJ.v1.Per.02231	Adorno, Theodor W.	https://undusting.org/jewish_sources/s/jewish_sources/item/11663	Theodor W. Adorno	Q152388		Paris	17374	1	QGJ.v1.A0103.I0316.E01956	1871	1988	5408		persons		Adorno, Theodor W. 1902	
QGJ.v1.Per.02232	Agnes, Landgräfin von Hessen geb. Herzogin von Braunschweig	https://undusting.org/jewish_sources/s/jewish_sources/item/11664	Agnes, Landgräfin von Hessen geb. Herzogin von Braunschweig			Altmark|BRD|Braunschweig|Erfurt|Hessen|Hessen-Darmstadt|Magdeburg|Mühlhausen|Nordhausen|Sachsen-Anhalt|Stendal|Thüringen	16361|16518|16517|16675|16928|16929|17164|17230|17313|17512|17649|17701	6	QGJ.v1.A0155.I0470.E02815|QGJ.v1.A0269.I0916.E07684|QGJ.v1.A0269.I0916.E07688|QGJ.v1.A0269.I0916.E07689|QGJ.v1.A0269.I0918.E07824|QGJ.v1.A0269.I0918.E07832	1439	1439	6267|11136|11140|11141|11276|11284		persons		Agnes, Landgräfin von Hessen geb. Herzogin von Braunschweig 2748,7591,7595,7596,7730,7738	
QGJ.v1.Per.02233	Ahlefeld, Carl	https://undusting.org/jewish_sources/s/jewish_sources/item/11665	Ahlefeld, Carl			Ilmenau|Thüringen	16965|17701	2	QGJ.v1.A0260.I0897.E07545|QGJ.v1.A0261.I0899.E07562	1931	1938	10997|11014		persons		Ahlefeld, Carl 7452,7469	
QGJ.v1.Per.02234	Ahock, Otto D.	https://undusting.org/jewish_sources/s/jewish_sources/item/11666	Ahock, Otto D.			Mecklenburg-Vorpommern|Stralsund	17192|17661	1	QGJ.v1.A0033.I0118.E00807			4259		persons		Ahock, Otto D. 765	
QGJ.v1.Per.02235	Ahrendt, Mayer	https://undusting.org/jewish_sources/s/jewish_sources/item/11667	Ahrendt, Mayer			Mecklenburg-Vorpommern|Neustrelitz	17192|17286	1	QGJ.v1.A0023.I0082.E00435			3887		persons		Ahrendt, Mayer 393	
QGJ.v1.Per.02236	Ahrens, Abraham	https://undusting.org/jewish_sources/s/jewish_sources/item/11668	Ahrens, Abraham			Mecklenburg-Vorpommern|Schwerin	17192|17599	1	QGJ.v1.A0031.I0110.E00700			4152		persons		Ahrens, Abraham 658	
QGJ.v1.Per.02237	Ahrensdorf, Aron Hirsch	https://undusting.org/jewish_sources/s/jewish_sources/item/11669	Ahrensdorf, Aron Hirsch			Mecklenburg-Vorpommern|Neustrelitz	17192|17286	1	QGJ.v1.A0023.I0082.E00433	1819	1819	3885		persons		Ahrensdorf, Aron Hirsch 391	
QGJ.v1.Per.02238	Ahrensdorf, Joseph	https://undusting.org/jewish_sources/s/jewish_sources/item/11670	Ahrensdorf, Joseph			Mecklenburg-Vorpommern|Neustrelitz	17192|17286	1	QGJ.v1.A0023.I0082.E00433	1819	1819	3885		persons		Ahrensdorf, Joseph 391	
QGJ.v1.Per.02239	Ahrensdorf, Loser	https://undusting.org/jewish_sources/s/jewish_sources/item/11671	Ahrensdorf, Loser			Mecklenburg-Vorpommern|Neustrelitz	17192|17286	1	QGJ.v1.A0023.I0082.E00433	1819	1819	3885		persons		Ahrensdorf, Loser 391	
QGJ.v1.Per.02240	Alba, Franziska geb. Ortenberg	https://undusting.org/jewish_sources/s/jewish_sources/item/11672	Alba, Franziska geb. Ortenberg			Ilmenau|Thüringen	16965|17701	1	QGJ.v1.A0260.I0897.E07552	1945	1947	11004		persons		Alba, Franziska geb. Ortenberg 7459	
