Identifier	Entry	Omeka	Entry_Clean_Recon	Wikidata	TextInBrackets	RelatedLocations	spatial coverage	NumberOfEntries	EntriesIdentifier	StartYear	endYear	OmekaID	SeeAlso	File	Comment	Column 1	Location_in_index
QGJ.v1.Per.05915	Russo, Leonie	https://undusting.org/jewish_sources/s/jewish_sources/item/15348	Leonie Russo	Q105473314		Oederan|Sachsen	17338|17509	1	QGJ.v1.A0204.I0666.E04507	1933	1933	7959		persons		Russo, Leonie 4430	
QGJ.v1.Per.05916	Ruthenberg, Eckehardt	https://undusting.org/jewish_sources/s/jewish_sources/item/15349	Ruthenberg, Eckehardt			Beizig|Brandenburg (Land)|Niemegk	16444|16512|17307	1	QGJ.v1.A0088.I0260.E01708			5160		persons		Ruthenberg, Eckehardt 1660	
QGJ.v1.Per.05917	Ruthowsky, Reichsgraf von	https://undusting.org/jewish_sources/s/jewish_sources/item/15350	Ruthowsky, Reichsgraf von			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03344			6796		persons		Ruthowsky, Reichsgraf von 3267	
QGJ.v1.Per.05918	Saalfelder, A.J.	https://undusting.org/jewish_sources/s/jewish_sources/item/15351	Saalfelder, A.J.			Leipzig|Sachsen	17112|17509	2	QGJ.v1.A0196.I0638.E04134|QGJ.v1.A0196.I0638.E04148			7586|7600		persons		Saalfelder, A.J. 4059, 4071	
QGJ.v1.Per.05919	Sabat, Max	https://undusting.org/jewish_sources/s/jewish_sources/item/15352	Sabat, Max			Buchenwald (KZ)|Mahn- und Gedenkstätten|Thüringen	16532|17701	1	QGJ.v1.A0296.I0978.E08134	1940	1943	11586		persons		Sabat, Max 8040	
QGJ.v1.Per.05920	Sabatzky (Frankfurt/Oder)	https://undusting.org/jewish_sources/s/jewish_sources/item/15353	Sabatzky		Frankfurt/Oder	Brandenburg (Land)|Frankfurt/Oder	16512|16719	1	QGJ.v1.A0066.I0207.E01506	1767	1767	4958		persons		Sabatzky (Frankfurt/Oder) 1453	Frankfurt/Oder
QGJ.v1.Per.05921	Sabbert, K.A.	https://undusting.org/jewish_sources/s/jewish_sources/item/15354	Sabbert, K.A.			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0597.E03794			7246		persons		Sabbert, K.A. 3717	
QGJ.v1.Per.05922	Sabersky, Albert	https://undusting.org/jewish_sources/s/jewish_sources/item/15355	Sabersky, Albert			Brandenburg (Land)|Seehof|Teltow	16512|17606|17687	2	QGJ.v1.A0084.I0254.E01682|QGJ.v1.A0084.I0255.E01683	1877	1993	5134|5135		persons		Sabersky, Albert 1634,1635	
QGJ.v1.Per.05923	Sabersky, Max	https://undusting.org/jewish_sources/s/jewish_sources/item/15356	Max Sabersky	Q15526044		Brandenburg (Land)|Seehof|Teltow	16512|17606|17687	1	QGJ.v1.A0084.I0254.E01682	1933	1993	5134		persons		Sabersky, Max 1634	
QGJ.v1.Per.05924	Sachs	https://undusting.org/jewish_sources/s/jewish_sources/item/15357	Sachs			Beizig|Brandenburg (Land)|Thüringen|Walldorf/Werra	16444|16512|17701|17759	3	QGJ.v1.A0088.I0260.E01705|QGJ.v1.A0239.I0846.E07044|QGJ.v1.A0239.I0846.E07045	1829	1930	5157|10496|10497		persons		Sachs 1657,6963,6964	
QGJ.v1.Per.05925	Sachs (Weimar)	https://undusting.org/jewish_sources/s/jewish_sources/item/15358	Sachs		Weimar	Thüringen|Weimar	17701|17783	1	QGJ.v1.A0235.I0786.E05394	1928	1928	8846		persons		Sachs (Weimar) 5317	Weimar
QGJ.v1.Per.05926	Sachs, Hans	https://undusting.org/jewish_sources/s/jewish_sources/item/15359	Sachs, Hans			Halle/Saale|Sachsen-Anhalt	16875|17512	1	QGJ.v1.A0168.I0532.E02998			6450		persons		Sachs, Hans 2931	
QGJ.v1.Per.05927	Sachs, Herz	https://undusting.org/jewish_sources/s/jewish_sources/item/15360	Sachs, Herz			Leipzig|Sachsen	17112|17509	1	QGJ.v1.A0196.I0648.E04393			7845		persons		Sachs, Herz 4316	
QGJ.v1.Per.05928	Sachs, Jacob Behr	https://undusting.org/jewish_sources/s/jewish_sources/item/15361	Sachs, Jacob Behr			Leipzig|Sachsen	17112|17509	1	QGJ.v1.A0196.I0648.E04396			7848		persons		Sachs, Jacob Behr4319	
QGJ.v1.Per.05929	Sachs, Michael	https://undusting.org/jewish_sources/s/jewish_sources/item/15362	Sachs, Michael					1	QGJ.v1.A0105.I0317.E01967			5419		persons		Sachs, Michael 1913	
QGJ.v1.Per.05930	Sachs, Rudi	https://undusting.org/jewish_sources/s/jewish_sources/item/15363	Sachs, Rudi			Beizig|Brandenburg (Land)|San Franzisko (USA)	16444|16512|17533	1	QGJ.v1.A0088.I0260.E01707	1938	1992	5159		persons		Sachs, Rudi 1659	
QGJ.v1.Per.05931	Saeckel (Seckel), Levin Joel	https://undusting.org/jewish_sources/s/jewish_sources/item/15364	Saeckel , Levin Joel			Dresden|Sachsen	16630|17509	2	QGJ.v1.A0185.I0588.E03655|QGJ.v1.A0185.I0588.E03656			7107|7108		persons		Saeckel (Seckel), Levin Joel 3578, 3579	
QGJ.v1.Per.05932	Saeckel, Gelle	https://undusting.org/jewish_sources/s/jewish_sources/item/15365	Saeckel, Gelle			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03656			7108		persons		Saeckel, Gelle 3579	
QGJ.v1.Per.05933	Saling, R.	https://undusting.org/jewish_sources/s/jewish_sources/item/15366	Saling, R.			Berlin|Hamburg	16455|16877	1	QGJ.v1.A0107.I0327.E02058	1919	1922	5510		persons		Saling, R. 2004	
QGJ.v1.Per.05934	Sallmann, Konrad	https://undusting.org/jewish_sources/s/jewish_sources/item/15367	Sallmann, Konrad			Chemnitz|Dresden|Sachsen	16563|16630|17509	1	QGJ.v1.A0183.I0583.E03262	1937	1943	6714		persons		Sallmann, Konrad 3185	
QGJ.v1.Per.05935	Salmen (Jaxtheim)	https://undusting.org/jewish_sources/s/jewish_sources/item/15368	Tiina Salmén	Q523927	Jaxtheim	Jaxtheim|Mühlhausen|Nürnberg|Thüringen	16982|17230|17317|17701	1	QGJ.v1.A0269.I0916.E07659			11111		persons		Salmen (Jaxtheim) 7566	Jaxtheim
QGJ.v1.Per.05936	Salmon (Miihlhausen)	https://undusting.org/jewish_sources/s/jewish_sources/item/15369	Salmon		Miihlhausen	Mühlhausen|Thüringen	17230|17701	1	QGJ.v1.A0269.I0916.E07682			11134		persons		Salmon (Miihlhausen) 7589	
QGJ.v1.Per.05937	Salno (Rostock)	https://undusting.org/jewish_sources/s/jewish_sources/item/15370	Salno		Rostock	Mecklenburg|Mecklenburg-Vorpommern|Rostock	17189|17192|17491	1	QGJ.v1.A0030.I0107.E00589	1931	1931	4041		persons		Salno (Rostock) 547	Rostock
QGJ.v1.Per.05938	Salomo, Aaron	https://undusting.org/jewish_sources/s/jewish_sources/item/15371	Salomo, Aaron			Fürth|Schwarza|Thüringen	16746|17583|17701	2	QGJ.v1.A0239.I0831.E05834|QGJ.v1.A0239.I0831.E05992			9286|9444		persons		Salomo, Aaron 5753, 5911	
QGJ.v1.Per.05939	Salomo, Isaak	https://undusting.org/jewish_sources/s/jewish_sources/item/15372	Salomo, Isaak			Schwarza|Thüringen	17583|17701	1	QGJ.v1.A0239.I0831.E05684	1787	1787	9136		persons		Salomo, Isaak 5603	
QGJ.v1.Per.05940	Salomon	https://undusting.org/jewish_sources/s/jewish_sources/item/15373	Salomon			Bad Langensalza|Mecklenburg-Vorpommern|Ribnitz|Sowjetunion|Thüringen	16405|17192|17467|17628|17701	3	QGJ.v1.A0027.I0092.E00513|QGJ.v1.A0246.I0869.E07270|QGJ.v1.A0247.I0873.E07277	1940	1947	3965|10722|10729		persons		Salomon 471, 7177, 7184	
QGJ.v1.Per.05941	Salomon (Angermunde)	https://undusting.org/jewish_sources/s/jewish_sources/item/15374	Salomon		Angermunde	Angermünde|Brandenburg (Land)	16372|16512	2	QGJ.v1.A0054.I0174.E01183|QGJ.v1.A0054.I0174.E01222			4635|4674		persons		Salomon (Angermunde) 1134,1174	
QGJ.v1.Per.05942	Salomon (Barchfeld)	https://undusting.org/jewish_sources/s/jewish_sources/item/15375	Salomon		Barchfeld	Barchfeld|Henneberg|Henneberg, Grafschaft|Thüringen	16421|16914|16915|17701	1	QGJ.v1.A0239.I0828.E05660			9112		persons		Salomon (Barchfeld) 5579	Barchfeld
QGJ.v1.Per.05943	Salomon (Hainberg)	https://undusting.org/jewish_sources/s/jewish_sources/item/15376	Salomon		Hainberg	Hainberg|Henneberg|Henneberg, Grafschaft|Thüringen	16868|16914|16915|17701	1	QGJ.v1.A0239.I0827.E05603			9055		persons		Salomon (Hainberg) 5522	Hainberg
QGJ.v1.Per.05944	Salomon (Memmelsdorf)	https://undusting.org/jewish_sources/s/jewish_sources/item/15377	Salomon		Memmelsdorf	Altenhausen|Heldburg|Memmelsdorf|Pfarrweisach|Sachsen-Meiningen|Thüringen|Trappstadt	16356|16906|17201|17384|17519|17701|17709	1	QGJ.v1.A0239.I0837.E06634	1699	1699	10086		persons		Salomon (Memmelsdorf) 6553	Memmelsdorf
QGJ.v1.Per.05945	Salomon, Abraham	https://undusting.org/jewish_sources/s/jewish_sources/item/15378	Salomon, Abraham			Mecklenburg-Vorpommern|Neustrelitz	17192|17286	1	QGJ.v1.A0023.I0082.E00424	1834	1834	3876		persons		Salomon, Abraham 382	
QGJ.v1.Per.05946	Salomon, Albert	https://undusting.org/jewish_sources/s/jewish_sources/item/15379	Salomon, Albert			Berlin	16455	1	QGJ.v1.A0100.I0295.E01844	1933	1933	5296		persons		Salomon, Albert 1790	
QGJ.v1.Per.05947	Salomon, Alice	https://undusting.org/jewish_sources/s/jewish_sources/item/15380	Alice Salomon	Q106209		Berlin	16455	2	QGJ.v1.A0100.I0292.E01818|QGJ.v1.A0105.I0317.E01968	1938	1940	5270|5420		persons		Salomon, Alice 1764,1914	
QGJ.v1.Per.05948	Salomon, Aron	https://undusting.org/jewish_sources/s/jewish_sources/item/15381	Salomon, Aron			Gothenburg|Mecklenburg-Vorpommern|Röbel	16809|17192|17476	1	QGJ.v1.A0029.I0097.E00528			3980		persons		Salomon, Aron 485	
QGJ.v1.Per.05949	Salomon, Baruch	https://undusting.org/jewish_sources/s/jewish_sources/item/15382	Salomon, Baruch			Gleicherwiesen|Römhild|Thüringen	16787|17479|17701	1	QGJ.v1.A0275.I0936.E07921	1629	1882	11373		persons		Salomon, Baruch 7827	
QGJ.v1.Per.05950	Salomon, Bele	https://undusting.org/jewish_sources/s/jewish_sources/item/15383	Salomon, Bele			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03644			7096		persons		Salomon, Bele 3567	
QGJ.v1.Per.05951	Salomon, Beruchim	https://undusting.org/jewish_sources/s/jewish_sources/item/15384	Salomon, Beruchim			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03645	1802	1802	7097		persons		Salomon, Beruchim 3568	
QGJ.v1.Per.05952	Salomon, Brendel	https://undusting.org/jewish_sources/s/jewish_sources/item/15385	Salomon, Brendel			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03644			7096		persons		Salomon, Brendel 3567	
QGJ.v1.Per.05953	Salomon, Christian	https://undusting.org/jewish_sources/s/jewish_sources/item/15386	Christian Salomon	Q55098695		Mecklenburg-Vorpommern|Ribnitz	17192|17467	1	QGJ.v1.A0027.I0092.E00508			3960		persons		Salomon, Christian 466	
QGJ.v1.Per.05954	Salomon, Efraim	https://undusting.org/jewish_sources/s/jewish_sources/item/15387	Salomon, Efraim			Mittwitz|Neuhaus|Thüringen	17219|17265|17701	1	QGJ.v1.A0239.I0846.E06932	1777	1778	10384		persons		Salomon, Efraim 6851	
QGJ.v1.Per.05955	Salomon, Esther	https://undusting.org/jewish_sources/s/jewish_sources/item/15388	Salomon, Esther			Dresden|Leipzig|Sachsen|Schermeisel	16630|17112|17509|17543	1	QGJ.v1.A0185.I0588.E03623			7075		persons		Salomon, Esther 3546	
